year,i,WR,LS,GDP,UN,REER
1970,7.622992986826895,60.59201514723113,61.38571428571429,922031.6945333334,2.433123703171101,93.47178246288756
1971,6.035734177084458,61.38132956075511,62.02142857142858,955415.6834,2.7810903123616475,94.41417369601388
1972,5.339962249226478,61.57201223603395,62.114285714285714,1006046.4001333334,3.1676337486585813,95.80175915360918
1973,7.916598739715015,64.71184564255435,61.83571428571429,1068446.7218666666,2.89220091643247,96.90476691143661
1974,10.65244705942544,64.29873676512615,63.24285714285714,1077858.1922666666,2.86209601663514,96.3600376156591
1975,8.175654308078936,63.51187030893272,65.65,1078175.1510666667,4.29896762296119,98.46940010132545
1976,9.181612429187405,60.97618888205203,65.37857142857142,1130352.7923333333,4.7595768255702104,99.48020471597785
1977,8.809090887293936,56.042043156733925,64.85000000000001,1171553.0124000001,5.216149112933511,99.04845535392502
1978,9.256140015726345,53.68956435192568,63.74285714285714,1222744.3969333332,5.5743483254111625,97.96378280261582
1979,10.531950767874614,52.97958973520588,62.69285714285714,1268898.2984666666,5.549801269730926,97.06899311759753
1980,13.080390645110013,48.957977423650306,63.18,1283571.6740666667,5.827574564661841,97.15121162083966
1981,14.27009177409096,48.90932707182425,63.12666666666667,1307618.2397333335,6.814389742451222,95.87180897604871
1982,13.43280275555555,46.6311303244166,62.81333333333334,1307866.6676666667,8.136742677017708,95.14276803527045
1983,12.097238911111107,44.38879057350473,61.27333333333333,1349646.143,8.959177141133106,93.54653757795118
1984,12.112522199999999,42.61935623165582,59.89333333333333,1413012.3518,9.071137669305688,93.46496137563938
1985,11.5469972,41.80823274084596,59.42666666666666,1465050.3020666665,8.793855059070703,93.27494714560956
1986,10.081143495551792,41.02057564509359,59.266666666666666,1509845.7262666668,8.610110720165325,96.72968643003358
1987,9.541557824091846,40.86513884428082,59.21333333333334,1563789.5394666668,8.316680789413427,98.82314626516639
1988,9.196550170444612,40.618749723765035,58.440000000000005,1636606.7306,7.699675001999444,100.00644948794395
1989,11.224393744155856,40.43022055021923,58.013333333333335,1699534.5113999997,7.093128609407623,100.16478194200873
1990,11.892412651186818,40.59743703216758,58.50666666666667,1745562.2037333334,6.858593395722285,101.16761055919592
1991,10.661406517686181,41.05876495114727,59.18666666666666,1767741.8197333333,7.67107117929576,101.3370715989105
1992,10.113107175307428,41.74706961149981,59.44666666666667,1804031.1628,8.648592215486847,100.02593168638369
1993,7.5138168201701285,41.86595284404387,58.88666666666666,1822448.0526666667,9.926975770455325,96.2820534061337
1994,6.102758052624069,42.196174354918774,57.66,1877784.3177999998,10.133675028615984,96.64288338478528
1995,6.531162002951001,41.84313058005561,57.00666666666667,1926372.0753333336,9.6770585862929,98.46641305881423
1996,5.000712501564008,42.39536362856198,56.95333333333334,1979297.5687999998,9.616336200724028,97.68597691733119
1997,4.313256573640351,43.17025987141092,56.77333333333333,2044364.0546666668,9.173084274145749,95.81974639434819
1998,4.3126802951931476,43.730098948503795,56.65333333333333,2105584.3451333335,8.323159009001888,96.59567589078344
1999,3.6225550174979504,44.47159562935099,56.6,2174677.596933333,7.466085648819852,95.8374636772938
2000,4.710006390061528,45.230447436835085,56.120000000000005,2257248.359466667,6.725199890705072,94.08250629650223
2001,4.203770251113968,45.53577947408157,56.10666666666667,2289572.5430666665,6.309721343444164,93.62497814950879
2002,3.386377272254569,46.301852151275774,56.04,2317955.412866667,6.692563017265403,95.20394399218684
2003,2.571121219477396,46.28580202813137,55.78666666666667,2361375.937066667,6.968334313989592,98.37119946604804
2004,2.331433696251234,46.998132946387265,55.21333333333334,2430479.1163333333,6.9268915274718825,99.70819245879608
2005,2.5483579137553476,47.133709320035884,54.806666666666665,2492631.0211333334,6.987271567947998,99.19968153201263
2006,3.365395319707219,48.47692422513356,54.480000000000004,2558983.072866666,6.562916452402985,98.87016956742968
2007,4.405445374308299,49.13413080806591,54.413333333333334,2617045.2416,6.002335050467562,100.0
2008,4.460033938456694,49.51395434489496,54.89333333333333,2619726.5774666667,6.123928502851982,100.81452441985425
2009,1.2699187832438763,50.53145378903522,56.519999999999996,2525330.3228,7.960515199603346,100.322099114473
2010,1.0797050376541146,50.779397839132834,55.49333333333334,2595322.8505333336,8.30410645065017,100.48002023019096
2011,1.5377330082368197,51.499659188223966,55.326666666666675,2635564.7882,8.155695631625024,101.68887776611335
2012,0.9491661902293075,52.107780540795716,55.52666666666667,2664045.266533333,8.726009695405917,101.04660726054566
2013,0.613982718509755,53.46867753796724,55.413333333333334,2697066.4812666667,9.11473289451456,100.41639957378003
2014,0.5601377992706577,53.51184411284906,55.21333333333334,2745839.474,8.75700788060514,99.19169322434588
2015,0.32291697547839354,53.34844667998916,55.04,2805128.486933334,8.32351199696965,95.70494803137795
2016,0.14893475317592209,54.5258550214995,54.806666666666665,2851166.943866667,7.767590931252664,96.34430660333447
2017,0.1266834239102315,54.892749057625885,54.413333333333334,2916748.9576,7.033094426857115,96.59640137741462
2018,0.2918586737207634,55.535745625235236,54.63333333333333,2977647.2236,6.274355872620437,96.83098703065501
2019,0.2961250594485106,55.463250526535056,55.08666666666667,3024970.2054666667,5.915128804669896,95.61911303129878
