,count,mean,std,min,25%,50%,75%,max
i,750.0,6.186976874932739,4.846419957939976,-0.695,2.1855895833333325,5.315,9.508333333333335,24.9
P,750.0,64.34373333333333,29.53545911593624,1.7,40.55,69.25,90.475,110.8
W,740.0,29.663542490263747,16.237417727441514,3.0454843081421026,16.499738218332165,28.064481479731548,42.012400494326876,75.10796770357389
WR,740.0,49.24403625612354,19.889039199537944,13.615375743565622,38.63401302623962,45.77916045145196,54.778060306813714,193.6130877199426
GDP,750.0,1941395.5141946666,3088413.9197257753,78339.01,313760.56825,898905.2165,2221882.1772499997,19928973.472
LS,740.0,58.345405405405415,5.415203673292948,43.2,55.2,58.3,61.6,88.4
PCOM,750.0,47.449643600321025,36.72115141119935,2.11311453784639,22.32581449567,35.596160147579994,69.35798926664,135.21507073254
UN,741.0,7.090870236771546,3.961598434288936,0.554685460715218,4.557831740265704,6.776668564663665,8.736210123329087,26.093716378244558
SHORTUN,588.0,1093.5400561763604,1685.3006075075532,36.5,163.86804150000003,696.987875,1063.15625,9770.58
LONGUN,588.0,822.288778177381,881.931090155683,10.6,187.01399924999998,396.7,1333.5,6416.0
LF,741.0,25015.81066531714,32929.40995470977,1509.0,4610.0,13526.01,27708.25,163538.7
REER,750.0,97.54274260974817,12.83312448068174,64.19260989829687,90.7707630346741,97.00046061934678,101.75345796673139,160.02352049813103
SH,750.0,5.709472304378784,5.5450428336052155,-6.956319240795186,2.1059837484260306,5.267943494800085,9.508333333333335,24.9
